StandardName	StandardZnfContent	alleva.2021	berg.2010	berg.2011	borel.2012	hussin.2013	jeffreys.2013	ponting.2011
pr061	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0319	NA	NA	NA	NA	Jeffreys063	NA
pr062	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	Rv:0368	NA	NA	NA	NA	Jeffreys064	NA
pr063	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN011_ZN008_ZN012_ZN008_ZN009	Rv:0144	NA	NA	NA	NA	Jeffreys065	NA
pr064	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	Rv:0356	NA	NA	NA	NA	Jeffreys066	NA
pr065	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN008_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0374	NA	NA	NA	NA	Jeffreys067	NA
pr066	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN008_ZN012_ZN008_ZN009	L15v:0163	NA	NA	NA	NA	Jeffreys068	NA
pr067	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0220	NA	NA	NA	NA	Jeffreys069	NA
pr068	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN008_ZN012_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0293	NA	NA	NA	NA	Jeffreys070	NA
pr069	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN010	Cv:0195	NA	NA	NA	NA	Jeffreys071	NA
pr070	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_zn030_ZN012_zn030_ZN012_ZN008_ZN009_ZN010	Cv:0260	NA	NA	NA	NA	Jeffreys072	NA
pr071	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0317	NA	NA	NA	NA	Jeffreys073	NA
pr072	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0310	NA	NA	NA	NA	Jeffreys074	NA
pr073	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_zn041_ZN012_ZN008_ZN009_ZN010	Cv:0394	NA	NA	NA	NA	Jeffreys075	NA
pr074	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_zn028_ZN003_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0228	NA	NA	NA	NA	Jeffreys076	NA
pr075	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN003_ZN006_ZN011_ZN008_ZN008_ZN012_ZN008_ZN009	L15v:0184	NA	NA	NA	NA	Jeffreys077	NA
pr076	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0328	NA	NA	NA	NA	Jeffreys078	NA
pr077	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0416	NA	NA	NA	NA	Jeffreys079	NA
pr078	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN006_ZN006_ZN011_ZN008_zn011_ZN012_ZN008_ZN009_ZN010	Cv:0413	NA	NA	NA	NA	Jeffreys080	NA
pr079	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN006_ZN011_ZN008_ZN008_zn019_ZN012_ZN008_ZN009_ZN010	Rv:0411	NA	NA	NA	NA	Jeffreys081	NA
pr080	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0267	NA	NA	NA	NA	Jeffreys082	NA
pr081	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0322	NA	NA	NA	NA	Jeffreys083	NA
pr082	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN006_ZN011_ZN015_ZN009_ZN010	L14v:0295	NA	NA	NA	NA	Jeffreys084	NA
pr083	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0283	NA	NA	NA	NA	Jeffreys085	NA
pr084	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN003_ZN012_ZN008_ZN009_ZN010	Cv:0204	NA	NA	NA	NA	Jeffreys086	NA
pr085	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0183	NA	NA	NA	NA	Jeffreys087	NA
pr086	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0186	NA	NA	NA	NA	Jeffreys088	NA
pr087	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0337	NA	NA	NA	NA	Jeffreys089	NA
pr088	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN007_ZN008_ZN012_ZN008_ZN009	Rv:0176	NA	NA	NA	NA	Jeffreys090	NA
pr089	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN008_ZN012_ZN008_ZN009	L15v:0160	NA	NA	NA	NA	Jeffreys091	NA
pr090	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN011_zn028_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0334	NA	NA	NA	NA	Jeffreys092	NA
pr091	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN011_ZN008_ZN012_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0187	NA	NA	NA	NA	Jeffreys093	NA
pr092	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN012_ZN008_ZN005_ZN012_ZN008_ZN009	L15v:0180	NA	NA	NA	NA	Jeffreys094	NA
pr093	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN006_ZN012_ZN008_ZN009_ZN010	Cv:0395	NA	NA	NA	NA	Jeffreys095	NA
pr094	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN008_ZN009	L15v:0167	NA	NA	NA	NA	Jeffreys096	NA
pr095	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN008_ZN009_ZN010	Cv:0298	NA	NA	NA	NA	Jeffreys097	NA
pr096	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN008_ZN011_ZN011_ZN008_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0329	NA	NA	NA	NA	Jeffreys098	NA
pr097	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0202	NA	NA	NA	NA	Jeffreys099	NA
pr098	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN009	L15v:0143	NA	NA	NA	NA	Jeffreys100	NA
pr099	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN009_ZN010	Cv:0209	NA	NA	NA	NA	Jeffreys101	NA
pr100	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0296	NA	NA	NA	NA	Jeffreys102	NA
pr101	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN011_ZN011_ZN007_ZN012_ZN015_ZN009_ZN010	Rv:0345	NA	NA	NA	NA	Jeffreys103	NA
pr102	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN011_ZN011_ZN008_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0409	NA	NA	NA	NA	Jeffreys104	NA
pr103	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn038_ZN009_ZN010_ZN010	L14v:0377	NA	NA	NA	NA	Jeffreys105	NA
pr104	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN005_ZN005_ZN015_ZN009_ZN010	L14v:0365	NA	NA	NA	NA	Jeffreys106	NA
pr105	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN006_ZN011_ZN008_ZN009_ZN010	Cv:0408	NA	NA	NA	NA	Jeffreys107	NA
pr106	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0235	NA	NA	NA	NA	Jeffreys108	NA
pr107	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN006_ZN012_ZN006_ZN008_ZN009	L15v:0175	NA	NA	NA	NA	Jeffreys109	NA
pr108	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN003_ZN003_ZN009_ZN010	Cv:0261	NA	NA	NA	NA	Jeffreys110	NA
pr109	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN003_ZN006_ZN011_ZN008_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0417	NA	NA	NA	NA	Jeffreys111	NA
pr110	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009	L15v:0185	NA	NA	NA	NA	Jeffreys112	NA
pr111	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN003_ZN006_ZN011_ZN015_ZN009_ZN010	L14v:0378	NA	NA	NA	NA	Jeffreys113	NA
pr112	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN003_ZN011_ZN008_ZN012_ZN012_ZN015_ZN009_ZN010	L14v:0335	NA	NA	NA	NA	Jeffreys114	NA
pr113	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	Rv:0355	NA	NA	NA	NA	Jeffreys115	NA
pr114	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN006_ZN009_ZN010	Rv:0405	NA	NA	NA	NA	Jeffreys116	NA
pr115	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0338	NA	NA	NA	NA	Jeffreys117	NA
pr116	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN008_ZN009_ZN010	Cv:0208	NA	NA	NA	NA	Jeffreys118	NA
pr117	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0230	NA	NA	NA	NA	Jeffreys119	NA
pr118	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_zn035_ZN009_ZN010	L14v:0301	NA	NA	NA	NA	Jeffreys121	NA
pr119	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_zn042_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0414	NA	NA	NA	NA	Jeffreys122	NA
pr120	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010_ZN010	Cv:0211	NA	NA	NA	NA	Jeffreys124	NA
pr121	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_zn004_ZN010	Cv:0399	NA	NA	NA	NA	Jeffreys125	NA
pr122	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN009_zn024_ZN009_ZN010	Cv:0288	NA	NA	NA	NA	Jeffreys126	NA
pr123	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN011_ZN008_ZN012_ZN008_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	L14v:0361	NA	NA	NA	NA	Jeffreys127	NA
pr124	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN008_ZN008_ZN009_ZN010	Cv:0309	NA	NA	NA	NA	Jeffreys128	NA
pr125	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0223	NA	NA	NA	NA	Jeffreys129	NA
pr126	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN008_ZN015_ZN009_ZN010	L14v:0312	NA	NA	NA	NA	Jeffreys130	NA
pr127	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN009_ZN010	Cv:0316	NA	NA	NA	NA	Jeffreys131	NA
pr128	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN012_ZN008_ZN012_ZN012_ZN008_ZN009_ZN010	Cv:0241	NA	NA	NA	NA	Jeffreys132	NA
pr129	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0297	NA	NA	NA	NA	Jeffreys133	NA
pr130	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_zn008_ZN009_ZN010	Cv:0410	NA	NA	NA	NA	Jeffreys134	NA
pr131	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN012_zn017_ZN010	Cv:0265	NA	NA	NA	NA	Jeffreys135	NA
pr132	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN015_ZN009_ZN010	L14v:0325	NA	NA	NA	NA	Jeffreys136	NA
pr133	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN006_ZN010	Rv:0272	NA	NA	NA	NA	Jeffreys137	NA
pr134	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN008_ZN009_ZN010	Cv:0225	NA	NA	NA	NA	Jeffreys138	NA
pr135	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0238	NA	NA	NA	NA	Jeffreys140	NA
pr136	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN012_ZN008_ZN009_ZN010	Cv:0231	NA	NA	NA	NA	Jeffreys141	NA
pr137	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_ZN017_ZN017_ZN008_ZN009_ZN010	Cv:0232	NA	NA	NA	NA	Jeffreys142	NA
pr138	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_zn022_ZN009	L15v:0138	NA	NA	NA	NA	Jeffreys143	NA
pr139	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN008_zn024_ZN009	Rv:0147	NA	NA	NA	NA	Jeffreys144	NA
pr140	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN009	L15v:0169	NA	NA	NA	NA	Jeffreys145	NA
pr141	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN009_ZN010	Cv:0224	NA	NA	NA	NA	Jeffreys146	NA
pr142	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN010	Uv:0292	NA	NA	NA	NA	Jeffreys147	NA
pr143	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN008_ZN005_ZN008_ZN009_ZN010	Cv:0396	NA	NA	NA	NA	Jeffreys148	NA
pr144	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN008_ZN009_ZN010	Cv:0314	NA	NA	NA	NA	Jeffreys149	NA
pr145	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0229	NA	NA	NA	NA	Jeffreys150	NA
pr146	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN008_ZN012_ZN008_ZN012_zn017_ZN010	Cv:0406	NA	NA	NA	NA	Jeffreys151	NA
pr147	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0311	NA	NA	NA	NA	Jeffreys152	NA
pr148	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN011_ZN017_zn022_ZN008_ZN012_ZN008_zn004_ZN010	Cv:0269	NA	NA	NA	NA	Jeffreys153	NA
pr149	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN005_ZN003_ZN006_ZN011_ZN015_ZN009_ZN010	L14v:0330	NA	NA	NA	NA	Jeffreys154	NA
pr150	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN005_ZN012_ZN015_ZN009_ZN010	L14v:0313	NA	NA	NA	NA	Jeffreys155	NA
pr151	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN008_ZN009_ZN010	Cv:0206	NA	NA	NA	NA	Jeffreys156	NA
pr152	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0407	NA	NA	NA	NA	Jeffreys157	NA
pr153	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN011_ZN008_ZN012_ZN012_ZN008_ZN009_ZN010	Cv:0237	NA	NA	NA	NA	Jeffreys158	NA
pr154	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN012_ZN008_ZN009_ZN010	Cv:0285	NA	NA	NA	NA	Jeffreys159	NA
pr155	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN012_ZN015_ZN009_ZN010	L14v:0323	NA	NA	NA	NA	Jeffreys160	NA
pr156	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN014_ZN005_ZN008_ZN009	L15v:0162	NA	NA	NA	NA	Jeffreys161	NA
pr157	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN008_zn036_ZN009_ZN010	L14v:0366	NA	NA	NA	NA	Jeffreys162	NA
pr158	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0341	NA	NA	NA	NA	Jeffreys163	NA
pr159	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN009_ZN009_ZN010	L14v:0367	NA	NA	NA	NA	Jeffreys164	NA
pr160	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN012_ZN012_ZN015_ZN009_ZN010	L14v:0326	NA	NA	NA	NA	Jeffreys166	NA
pr161	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN012_ZN008_ZN012_ZN008_ZN009_ZN010	Rv:0327	NA	NA	NA	NA	Jeffreys167	NA
pr162	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN012_ZN015_ZN009_ZN010	L14v:0299	NA	NA	NA	NA	Jeffreys168	NA
pr163	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN017_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0324	NA	NA	NA	NA	Jeffreys169	NA
pr164	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN017_ZN008_ZN017_ZN008_ZN009_ZN010	Rv:0382	NA	NA	NA	NA	Jeffreys170	NA
pr165	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN017_ZN009_ZN010	L14v:0353	NA	NA	NA	NA	Jeffreys171	NA
pr166	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN017_ZN012_ZN015_ZN009_ZN010	L14v:0315	NA	NA	NA	NA	Jeffreys172	NA
pr167	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN017_ZN015_ZN009_ZN010	L14v:0386	NA	NA	NA	NA	Jeffreys173	NA
pr168	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn007_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0398	NA	NA	NA	NA	Jeffreys174	NA
pr169	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn007_zn008_ZN009_ZN010	Cv:0397	NA	NA	NA	NA	Jeffreys175	NA
pr170	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn017	L15v:0170	NA	NA	NA	NA	Jeffreys176	NA
pr171	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn017_ZN010	Cv:0226	NA	NA	NA	NA	Jeffreys177	NA
pr172	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn017_ZN012_ZN008_ZN003_ZN008_ZN009_ZN010	Cv:0404	NA	NA	NA	NA	Jeffreys178	NA
pr173	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN012_zn017_ZN017_ZN009_ZN010	L14v:0351	NA	NA	NA	NA	Jeffreys179	NA
pr174	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_ZN015_ZN009_ZN010	L14v:0308	NA	NA	NA	NA	Jeffreys180	NA
pr175	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_zn018	L15v:0145	NA	NA	NA	NA	Jeffreys181	NA
pr176	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN008_zn018_zn034	Uv:0289	NA	NA	NA	NA	Jeffreys182	NA
pr177	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN009_ZN010	Cv:0205	NA	NA	NA	NA	Jeffreys183	NA
pr178	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN010	Cv:0201	NA	NA	NA	NA	Jeffreys184	NA
pr179	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN011_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0320	NA	NA	NA	NA	Jeffreys185	NA
pr180	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN011_ZN008_ZN012_ZN008_ZN009_ZN010	Cv:0200	NA	NA	NA	NA	Jeffreys186	NA
pr181	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN011_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	L14v:0321	NA	NA	NA	NA	Jeffreys187	NA
